# WARP endpoints: 9 working / 14 probed
# sorted by ping to the endpoint
# Scanned from inside a tunnel to 8.39.214.192:500 (awg) - every endpoint here exits through that node's region
# ENDPOINT PING = ICMP from inside that tunnel to the endpoint, so it carries the outer hop too
# SEEN AS = region external services see through the tunnel
# NODE / NODE LOCATION = Cloudflare WARP edge node the tunnel landed on, and where it sits
# One /24 pool can land on several different nodes - NODE is per endpoint, not per subnet

ENDPOINT               ENDPOINT PING SEEN AS    NODE   NODE LOCATION
8.39.125.144:1701      164ms         US         LAX    Los Angeles, US
8.35.211.219:2408      165ms         US         LAX    Los Angeles, US
188.114.99.246:1701    166ms         US         LAX    Los Angeles, US
188.114.96.223:2408    167ms         US         LAX    Los Angeles, US
188.114.97.138:2408    167ms         US         LAX    Los Angeles, US
8.47.69.10:2408        181ms         US         LAX    Los Angeles, US
162.159.195.116:2408   181ms         US         LAX    Los Angeles, US
8.39.214.79:1701       181ms         US         LAX    Los Angeles, US
162.159.192.5:2408     ?             US         LAX    Los Angeles, US

# Best endpoint per node (lowest ping to the endpoint)
NODE   ENDPOINT               ENDPOINT PING SEEN AS    NODE LOCATION
LAX    8.39.125.144:1701      164ms         US         Los Angeles, US
